,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
497,The Fall,2006,R,117.0,7.9,64.0,Tarsem Singh,Lee Pace,Catinca Untaru,Justine Waddell,Kim Uylenbroek,107290,2280348.0,Adventure,The,Fall,,,,,,,,,,,
498,Life of Pi,2012,U,127.0,7.9,79.0,Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,580708,124987023.0,Adventure,Life,of,Pi,,,,,,,,,,
499,Fantastic Mr. Fox,2009,PG,87.0,7.9,83.0,Wes Anderson,George Clooney,Meryl Streep,Bill Murray,Jason Schwartzman,199696,21002919.0,Animation,Fantastic,Mr.,Fox,,,,,,,,,,
501,Les choristes,2004,PG-13,97.0,7.9,56.0,Christophe Barratier,Gérard Jugnot,François Berléand,Jean-Baptiste Maunier,Kad Merad,57430,3635164.0,Drama,Les,choristes,,,,,,,,,,,
502,Iron Man,2008,UA,126.0,7.9,79.0,Jon Favreau,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges,939644,318412101.0,Action,Iron,Man,,,,,,,,,,,
503,Shaun of the Dead,2004,UA,99.0,7.9,76.0,Edgar Wright,Simon Pegg,Nick Frost,Kate Ashfield,Lucy Davis,512249,13542874.0,Comedy,Shaun,of,the,Dead,,,,,,,,,
505,Mystic River,2003,A,138.0,7.9,84.0,Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum,419420,90135191.0,Crime,Mystic,River,,,,,,,,,,,
506,Harry Potter and the Prisoner of Azkaban,2004,U,142.0,7.9,82.0,Alfonso Cuarón,Daniel Radcliffe,Emma Watson,Rupert Grint,Richard Griffiths,552493,249358727.0,Adventure,Harry,Potter,and,the,Prisoner,of,Azkaban,,,,,,
507,Ying xiong,2002,PG-13,120.0,7.9,85.0,Yimou Zhang,Jet Li,Tony Chiu-Wai Leung,Maggie Cheung,Ziyi Zhang,173999,53710019.0,Action,Ying,xiong,,,,,,,,,,,
508,Hable con ella,2002,R,112.0,7.9,86.0,Pedro Almodóvar,Rosario Flores,Javier Cámara,Darío Grandinetti,Leonor Watling,104691,9284265.0,Drama,Hable,con,ella,,,,,,,,,,
