,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
632,The World's Fastest Indian,2005,U,127.0,7.8,68.0,Roger Donaldson,Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell,51980,5128124.0,Biography,The,World's,Fastest,Indian,,,,,,,,,
633,Tôkyô goddofâzâzu,2003,UA,90.0,7.8,73.0,Satoshi Kon,Shôgo Furuya,Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,31658,128985.0,Animation,Tôkyô,goddofâzâzu,,,,,,,,,,,
634,Serenity,2005,PG-13,119.0,7.8,74.0,Joss Whedon,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,283310,25514517.0,Action,Serenity,,,,,,,,,,,,
635,Walk the Line,2005,PG-13,136.0,7.8,72.0,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,234207,119519402.0,Biography,Walk,the,Line,,,,,,,,,,
637,The Notebook,2004,A,123.0,7.8,53.0,Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,520284,81001787.0,Drama,The,Notebook,,,,,,,,,,,
638,Diarios de motocicleta,2004,U,126.0,7.8,75.0,Walter Salles,Gael García Bernal,Rodrigo De la Serna,Mía Maestro,Mercedes Morán,96703,16756372.0,Adventure,Diarios,de,motocicleta,,,,,,,,,,
639,Lilja 4-ever,2002,R,109.0,7.8,82.0,Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov,Lyubov Agapova,42673,181655.0,Crime,Lilja,4-ever,,,,,,,,,,,
640,Les triplettes de Belleville,2003,PG-13,80.0,7.8,91.0,Sylvain Chomet,Michèle Caucheteux,Jean-Claude Donda,Michel Robin,Monica Viegas,50622,7002255.0,Animation,Les,triplettes,de,Belleville,,,,,,,,,
642,The Count of Monte Cristo,2002,PG-13,131.0,7.8,61.0,Kevin Reynolds,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,129022,54234062.0,Action,The,Count,of,Monte,Cristo,,,,,,,,
643,Waking Life,2001,R,99.0,7.8,83.0,Richard Linklater,Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater,Wiley Wiggins,60684,2892011.0,Animation,Waking,Life,,,,,,,,,,,
644,Remember the Titans,2000,U,113.0,7.8,48.0,Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,198089,115654751.0,Biography,Remember,the,Titans,,,,,,,,,,
645,Wo hu cang long,2000,UA,120.0,7.8,94.0,Ang Lee,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Chen Chang,253228,128078872.0,Action,Wo,hu,cang,long,,,,,,,,,
646,Todo sobre mi madre,1999,R,101.0,7.8,87.0,Pedro Almodóvar,Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan,89058,8264530.0,Drama,Todo,sobre,mi,madre,,,,,,,,,
647,Cast Away,2000,UA,143.0,7.8,73.0,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White,524235,233632142.0,Adventure,Cast,Away,,,,,,,,,,,
648,The Boondock Saints,1999,R,108.0,7.8,44.0,Troy Duffy,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,227143,25812.0,Action,The,Boondock,Saints,,,,,,,,,,
649,The Insider,1999,UA,157.0,7.8,84.0,Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora,159886,28965197.0,Biography,The,Insider,,,,,,,,,,,
650,October Sky,1999,PG,108.0,7.8,71.0,Joe Johnston,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,82855,32481825.0,Biography,October,Sky,,,,,,,,,,,
651,Shrek,2001,U,90.0,7.8,84.0,Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,613941,267665011.0,Animation,Shrek,,,,,,,,,,,,
652,Titanic,1997,UA,194.0,7.8,75.0,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,1046089,659325379.0,Drama,Titanic,,,,,,,,,,,,
654,Gattaca,1997,UA,106.0,7.8,64.0,Andrew Niccol,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal,280845,12339633.0,Drama,Gattaca,,,,,,,,,,,,
655,The Game,1997,UA,129.0,7.8,61.0,David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,345096,48323648.0,Action,The,Game,,,,,,,,,,,
656,Breaking the Waves,1996,R,159.0,7.8,76.0,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr,62428,4040691.0,Drama,Breaking,the,Waves,,,,,,,,,,
657,Ed Wood,1994,U,127.0,7.8,70.0,Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,164937,5887457.0,Biography,Ed,Wood,,,,,,,,,,,
658,What's Eating Gilbert Grape,1993,U,118.0,7.8,73.0,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen,215034,9170214.0,Drama,What's,Eating,Gilbert,Grape,,,,,,,,,
659,Tombstone,1993,R,130.0,7.8,50.0,George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,126871,56505065.0,Action,Tombstone,,,,,,,,,,,,
660,The Sandlot,1993,U,101.0,7.8,55.0,David Mickey Evans,Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna,78963,32416586.0,Comedy,The,Sandlot,,,,,,,,,,,
661,The Remains of the Day,1993,U,134.0,7.8,84.0,James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Christopher Reeve,66065,22954968.0,Drama,The,Remains,of,the,Day,,,,,,,,
663,The Fugitive,1993,U,130.0,7.8,87.0,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,267684,183875760.0,Action,The,Fugitive,,,,,,,,,,,
664,A Bronx Tale,1993,R,121.0,7.8,80.0,Robert De Niro,Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra,128171,17266971.0,Crime,A,Bronx,Tale,,,,,,,,,,
667,Night on Earth,1991,R,129.0,7.8,68.0,Jim Jarmusch,Winona Ryder,Gena Rowlands,Lisanne Falk,Alan Randolph Scott,55362,2015810.0,Comedy,Night,on,Earth,,,,,,,,,,
668,La double vie de Véronique,1991,R,98.0,7.8,86.0,Krzysztof Kieslowski,Irène Jacob,Wladyslaw Kowalski,Halina Gryglaszewska,Kalina Jedrusik,42376,1999955.0,Drama,La,double,vie,de,Véronique,,,,,,,,
669,Boyz n the Hood,1991,A,112.0,7.8,76.0,John Singleton,Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,Lloyd Avery II,126082,57504069.0,Crime,Boyz,n,the,Hood,,,,,,,,,
670,Misery,1990,R,107.0,7.8,75.0,Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen,184740,61276872.0,Drama,Misery,,,,,,,,,,,,
671,Awakenings,1990,U,121.0,7.8,74.0,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,125276,52096475.0,Biography,Awakenings,,,,,,,,,,,,
673,Glory,1989,R,122.0,7.8,78.0,Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,122779,26830000.0,Biography,Glory,,,,,,,,,,,,
675,Back to the Future Part II,1989,U,108.0,7.8,57.0,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,481918,118500000.0,Adventure,Back,to,the,Future,Part,II,,,,,,,
676,Mississippi Burning,1988,A,128.0,7.8,65.0,Alan Parker,Gene Hackman,Willem Dafoe,Frances McDormand,Brad Dourif,88214,34603943.0,Crime,Mississippi,Burning,,,,,,,,,,,
677,Predator,1987,A,107.0,7.8,45.0,John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,371387,59735548.0,Action,Predator,,,,,,,,,,,,
678,Evil Dead II,1987,A,84.0,7.8,72.0,Sam Raimi,Bruce Campbell,Sarah Berry,Dan Hicks,Kassie Wesley DePaiva,148359,5923044.0,Action,Evil,Dead,II,,,,,,,,,,
679,Ferris Bueller's Day Off,1986,U,103.0,7.8,61.0,John Hughes,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,321382,70136369.0,Comedy,Ferris,Bueller's,Day,Off,,,,,,,,,
680,Down by Law,1986,R,107.0,7.8,75.0,Jim Jarmusch,Tom Waits,John Lurie,Roberto Benigni,Nicoletta Braschi,47834,1436000.0,Comedy,Down,by,Law,,,,,,,,,,
681,The Goonies,1985,U,114.0,7.8,62.0,Richard Donner,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,244430,61503218.0,Adventure,The,Goonies,,,,,,,,,,,
682,The Color Purple,1985,U,154.0,7.8,78.0,Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Margaret Avery,78321,98467863.0,Drama,The,Color,Purple,,,,,,,,,,
683,The Breakfast Club,1985,UA,97.0,7.8,66.0,John Hughes,Emilio Estevez,Judd Nelson,Molly Ringwald,Ally Sheedy,357026,45875171.0,Comedy,The,Breakfast,Club,,,,,,,,,,
684,The Killing Fields,1984,UA,141.0,7.8,76.0,Roland Joffé,Sam Waterston,Haing S. Ngor,John Malkovich,Julian Sands,51585,34700291.0,Biography,The,Killing,Fields,,,,,,,,,,
685,Ghostbusters,1984,UA,105.0,7.8,71.0,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,355413,238632124.0,Action,Ghostbusters,,,,,,,,,,,,
686,The Right Stuff,1983,PG,193.0,7.8,91.0,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid,56235,21500000.0,Adventure,The,Right,Stuff,,,,,,,,,,
687,The King of Comedy,1982,U,109.0,7.8,73.0,Martin Scorsese,Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,88511,2500000.0,Comedy,The,King,of,Comedy,,,,,,,,,
688,E.T. the Extra-Terrestrial,1982,U,115.0,7.8,91.0,Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace,372490,435110554.0,Family,E.T.,the,Extra-Terrestrial,,,,,,,,,,
689,Kramer vs. Kramer,1979,A,105.0,7.8,77.0,Robert Benton,Dustin Hoffman,Meryl Streep,Jane Alexander,Justin Henry,133351,106260000.0,Drama,Kramer,vs.,Kramer,,,,,,,,,,
691,The Outlaw Josey Wales,1976,A,135.0,7.8,69.0,Clint Eastwood,Clint Eastwood,Sondra Locke,Chief Dan George,Bill McKinney,65659,31800000.0,Western,The,Outlaw,Josey,Wales,,,,,,,,,
693,The Conversation,1974,U,113.0,7.8,85.0,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,98611,4420000.0,Drama,The,Conversation,,,,,,,,,,,
694,La planète sauvage,1973,U,72.0,7.8,73.0,René Laloux,Barry Bostwick,Jennifer Drake,Eric Baugin,Jean Topart,25229,193817.0,Animation,La,planète,sauvage,,,,,,,,,,
695,The Day of the Jackal,1973,A,143.0,7.8,80.0,Fred Zinnemann,Edward Fox,Terence Alexander,Michel Auclair,Alan Badel,37445,16056255.0,Crime,The,Day,of,the,Jackal,,,,,,,,
697,Cabaret,1972,A,124.0,7.8,80.0,Bob Fosse,Liza Minnelli,Michael York,Helmut Griem,Joel Grey,48334,42765000.0,Drama,Cabaret,,,,,,,,,,,,
698,Willy Wonka & the Chocolate Factory,1971,U,100.0,7.8,67.0,Mel Stuart,Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,178731,4000000.0,Family,Willy,Wonka,&,the,Chocolate,Factory,,,,,,,
699,Midnight Cowboy,1969,A,113.0,7.8,79.0,John Schlesinger,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver,101124,44785053.0,Drama,Midnight,Cowboy,,,,,,,,,,,
703,My Fair Lady,1964,U,170.0,7.8,95.0,George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,86525,72000000.0,Drama,My,Fair,Lady,,,,,,,,,,
704,Mary Poppins,1964,U,139.0,7.8,88.0,Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,158029,102272727.0,Comedy,Mary,Poppins,,,,,,,,,,,
705,The Longest Day,1962,G,178.0,7.8,75.0,Ken Annakin,Andrew Marton,Gerd Oswald,Bernhard Wicki,Darryl F. Zanuck,52141,39100000.0,Action,The,Longest,Day,,,,,,,,,,
707,The Innocents,1961,A,100.0,7.8,88.0,Jack Clayton,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Michael Redgrave,27007,2616000.0,Horror,The,Innocents,,,,,,,,,,,
722,Deadpool 2,2018,R,119.0,7.7,66.0,David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,478586,324591735.0,Action,Deadpool,2,,,,,,,,,,,
723,Wind River,2017,R,107.0,7.7,73.0,Taylor Sheridan,Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones,205444,33800859.0,Crime,Wind,River,,,,,,,,,,,
724,Get Out,2017,R,104.0,7.7,85.0,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,492851,176040665.0,Horror,Get,Out,,,,,,,,,,,
725,Mission: Impossible - Fallout,2018,UA,147.0,7.7,86.0,Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,291257,220159104.0,Action,Mission:,Impossible,-,Fallout,,,,,,,,,
726,En man som heter Ove,2015,PG-13,116.0,7.7,70.0,Hannes Holm,Rolf Lassgård,Bahar Pars,Filip Berg,Ida Engvoll,47444,3358518.0,Comedy,En,man,som,heter,Ove,,,,,,,,
727,What We Do in the Shadows,2014,R,86.0,7.7,76.0,Jemaine Clement,Taika Waititi,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,157498,3333000.0,Comedy,What,We,Do,in,the,Shadows,,,,,,,
728,Omoide no Mânî,2014,U,103.0,7.7,72.0,James Simone,Hiromasa Yonebayashi,Sara Takatsuki,Kasumi Arimura,Nanako Matsushima,32798,765127.0,Animation,Omoide,no,Mânî,,,,,,,,,,
729,The Theory of Everything,2014,U,123.0,7.7,72.0,James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,404182,35893537.0,Biography,The,Theory,of,Everything,,,,,,,,,
730,Kingsman: The Secret Service,2014,A,129.0,7.7,60.0,Matthew Vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,590440,128261724.0,Action,Kingsman:,The,Secret,Service,,,,,,,,,
731,The Fault in Our Stars,2014,UA,126.0,7.7,69.0,Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,344312,124872350.0,Drama,The,Fault,in,Our,Stars,,,,,,,,
732,Me and Earl and the Dying Girl,2015,PG-13,105.0,7.7,74.0,Alfonso Gomez-Rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman,123210,6743776.0,Comedy,Me,and,Earl,and,the,Dying,Girl,,,,,,
733,Birdman or (The Unexpected Virtue of Ignorance),2014,A,119.0,7.7,87.0,Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,580291,42340598.0,Comedy,Birdman,or,(The,Unexpected,Virtue,of,Ignorance),,,,,,
734,La vie d'Adèle,2013,A,180.0,7.7,89.0,Abdellatif Kechiche,Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,Aurélien Recoing,138741,2199675.0,Drama,La,vie,d'Adèle,,,,,,,,,,
735,Kai po che!,2013,U,130.0,7.7,40.0,Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao,Amrita Puri,32628,1122527.0,Drama,Kai,po,che!,,,,,,,,,,
737,Captain America: The Winter Soldier,2014,UA,136.0,7.7,70.0,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,736182,259766572.0,Action,Captain,America:,The,Winter,Soldier,,,,,,,,
739,Nebraska,2013,UA,115.0,7.7,87.0,Alexander Payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,112298,17654912.0,Adventure,Nebraska,,,,,,,,,,,,
740,Wreck-It Ralph,2012,U,101.0,7.7,72.0,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,380195,189422889.0,Animation,Wreck-It,Ralph,,,,,,,,,,,
741,Le Petit Prince,2015,PG,108.0,7.7,70.0,Mark Osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,56720,1339152.0,Animation,Le,Petit,Prince,,,,,,,,,,
743,Midnight in Paris,2011,PG-13,96.0,7.7,81.0,Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,388089,56816662.0,Comedy,Midnight,in,Paris,,,,,,,,,,
744,The Lego Movie,2014,U,100.0,7.7,83.0,Christopher Miller,Phil Lord,Chris Pratt,Will Ferrell,Elizabeth Banks,323982,257760692.0,Animation,The,Lego,Movie,,,,,,,,,,
745,Gravity,2013,UA,91.0,7.7,96.0,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,769145,274092705.0,Drama,Gravity,,,,,,,,,,,,
746,Star Trek Into Darkness,2013,UA,132.0,7.7,72.0,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,463188,228778661.0,Action,Star,Trek,Into,Darkness,,,,,,,,,
748,The Social Network,2010,UA,120.0,7.7,95.0,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,624982,96962694.0,Biography,The,Social,Network,,,,,,,,,,
749,X: First Class,2011,UA,131.0,7.7,65.0,Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,645512,146408305.0,Action,X:,First,Class,,,,,,,,,,
750,The Hangover,2009,UA,100.0,7.7,73.0,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms,717559,277322503.0,Comedy,The,Hangover,,,,,,,,,,,
751,Skyfall,2012,UA,143.0,7.7,81.0,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,630614,304360277.0,Action,Skyfall,,,,,,,,,,,,
752,Silver Linings Playbook,2012,A,122.0,7.7,81.0,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,661871,132092958.0,Comedy,Silver,Linings,Playbook,,,,,,,,,,
753,Argo,2012,A,120.0,7.7,86.0,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,572581,136025503.0,Biography,Argo,,,,,,,,,,,,
754,(500) Days of Summer,2009,UA,95.0,7.7,76.0,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloë Grace Moretz,472242,32391374.0,Comedy,(500),Days,of,Summer,,,,,,,,,
755,Harry Potter and the Deathly Hallows: Part 1,2010,A,146.0,7.7,65.0,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy,479120,295983305.0,Adventure,Harry,Potter,and,the,Deathly,Hallows:,Part,1,,,,,
756,Gake no ue no Ponyo,2008,U,101.0,7.7,86.0,Hayao Miyazaki,Cate Blanchett,Matt Damon,Liam Neeson,Tomoko Yamaguchi,125317,15090400.0,Animation,Gake,no,ue,no,Ponyo,,,,,,,,
757,Frost/Nixon,2008,R,122.0,7.7,80.0,Ron Howard,Frank Langella,Michael Sheen,Kevin Bacon,Sam Rockwell,103330,18593156.0,Biography,Frost/Nixon,,,,,,,,,,,,
758,Papurika,2006,U,90.0,7.7,81.0,Satoshi Kon,Megumi Hayashibara,Tôru Emori,Katsunosuke Hori,Tôru Furuya,71379,881302.0,Animation,Papurika,,,,,,,,,,,,
759,Changeling,2008,R,141.0,7.7,63.0,Clint Eastwood,Angelina Jolie,Colm Feore,Amy Ryan,Gattlin Griffith,239203,35739802.0,Biography,Changeling,,,,,,,,,,,,
760,Flipped,2010,PG,90.0,7.7,45.0,Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,81446,1752214.0,Comedy,Flipped,,,,,,,,,,,,
764,Ex Machina,2014,UA,108.0,7.7,78.0,Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,474141,25442958.0,Drama,Ex,Machina,,,,,,,,,,,
765,Efter brylluppet,2006,R,120.0,7.7,78.0,Susanne Bier,Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Neeral Mulchandani,32001,412544.0,Drama,Efter,brylluppet,,,,,,,,,,,
766,The Last King of Scotland,2006,R,123.0,7.7,74.0,Kevin Macdonald,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington,175355,17605861.0,Biography,The,Last,King,of,Scotland,,,,,,,,
767,Zodiac,2007,UA,157.0,7.7,78.0,David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,466080,33080084.0,Crime,Zodiac,,,,,,,,,,,,
768,Lucky Number Slevin,2006,R,110.0,7.7,53.0,Paul McGuigan,Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu,299524,22494487.0,Action,Lucky,Number,Slevin,,,,,,,,,,
769,Joyeux Noël,2005,PG-13,116.0,7.7,70.0,Christian Carion,Diane Kruger,Benno Fürmann,Guillaume Canet,Natalie Dessay,28003,1054361.0,Drama,Joyeux,Noël,,,,,,,,,,,
770,Control,2007,R,122.0,7.7,78.0,Anton Corbijn,Sam Riley,Samantha Morton,Craig Parkinson,Alexandra Maria Lara,61609,871577.0,Biography,Control,,,,,,,,,,,,
771,Tangled,2010,U,100.0,7.7,71.0,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,405922,200821936.0,Animation,Tangled,,,,,,,,,,,,
772,Zwartboek,2006,R,145.0,7.7,71.0,Paul Verhoeven,Carice van Houten,Sebastian Koch,Thom Hoffman,Halina Reijn,72643,4398392.0,Drama,Zwartboek,,,,,,,,,,,,
773,Brokeback Mountain,2005,A,134.0,7.7,87.0,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Randy Quaid,323103,83043761.0,Drama,Brokeback,Mountain,,,,,,,,,,,
774,3:10 to Yuma,2007,A,122.0,7.7,76.0,James Mangold,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,288797,53606916.0,Action,3:10,to,Yuma,,,,,,,,,,
775,Crash,2004,UA,112.0,7.7,66.0,Paul Haggis,Don Cheadle,Sandra Bullock,Thandie Newton,Karina Arroyave,419483,54580300.0,Crime,Crash,,,,,,,,,,,,
776,Kung fu,2004,UA,99.0,7.7,78.0,Stephen Chow,Stephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung,127250,17108591.0,Action,Kung,fu,,,,,,,,,,,
777,The Bourne Supremacy,2004,A,108.0,7.7,73.0,Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox,434841,176241941.0,Action,The,Bourne,Supremacy,,,,,,,,,,
778,The Machinist,2004,R,101.0,7.7,61.0,Brad Anderson,Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,John Sharian,358432,1082715.0,Drama,The,Machinist,,,,,,,,,,,
779,Ray,2004,A,152.0,7.7,73.0,Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Clifton Powell,138356,75331600.0,Biography,Ray,,,,,,,,,,,,
780,Lost in Translation,2003,UA,102.0,7.7,89.0,Sofia Coppola,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris,415074,44585453.0,Comedy,Lost,in,Translation,,,,,,,,,,
781,Harry Potter and the Goblet of Fire,2005,UA,157.0,7.7,81.0,Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes,548619,290013036.0,Adventure,Harry,Potter,and,the,Goblet,of,Fire,,,,,,
782,Man on Fire,2004,UA,146.0,7.7,47.0,Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,329592,77911774.0,Action,Man,on,Fire,,,,,,,,,,
783,Coraline,2009,U,100.0,7.7,80.0,Henry Selick,Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders,197761,75286229.0,Animation,Coraline,,,,,,,,,,,,
784,The Last Samurai,2003,UA,154.0,7.7,55.0,Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,400049,111110575.0,Action,The,Last,Samurai,,,,,,,,,,
785,The Magdalene Sisters,2002,R,114.0,7.7,83.0,Peter Mullan,Eileen Walsh,Dorothy Duffy,Nora-Jane Noone,Anne-Marie Duff,25938,4890878.0,Drama,The,Magdalene,Sisters,,,,,,,,,,
786,Good Bye Lenin!,2003,R,121.0,7.7,68.0,Wolfgang Becker,Daniel Brühl,Katrin Saß,Chulpan Khamatova,Florian Lukas,137981,4064200.0,Comedy,Good,Bye,Lenin!,,,,,,,,,,
787,In America,2002,PG-13,105.0,7.7,76.0,Jim Sheridan,Paddy Considine,Samantha Morton,Djimon Hounsou,Sarah Bolger,40403,15539266.0,Drama,In,America,,,,,,,,,,,
788,I Am Sam,2001,PG-13,132.0,7.7,28.0,Jessie Nelson,Sean Penn,Michelle Pfeiffer,Dakota Fanning,Dianne Wiest,142863,40311852.0,Drama,I,Am,Sam,,,,,,,,,,
789,Adaptation.,2002,R,115.0,7.7,83.0,Spike Jonze,Nicolas Cage,Meryl Streep,Chris Cooper,Tilda Swinton,178565,22245861.0,Comedy,Adaptation.,,,,,,,,,,,,
790,Black Hawk Down,2001,A,144.0,7.7,74.0,Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana,364254,108638745.0,Drama,Black,Hawk,Down,,,,,,,,,,
791,Road to Perdition,2002,A,117.0,7.7,72.0,Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Liam Aiken,246840,104454762.0,Crime,Road,to,Perdition,,,,,,,,,,
792,Das Experiment,2001,R,120.0,7.7,60.0,Oliver Hirschbiegel,Moritz Bleibtreu,Christian Berkel,Oliver Stokowski,Wotan Wilke Möhring,90842,141072.0,Drama,Das,Experiment,,,,,,,,,,,
793,Billy Elliot,2000,R,110.0,7.7,74.0,Stephen Daldry,Jamie Bell,Julie Walters,Jean Heywood,Jamie Draven,126770,21995263.0,Drama,Billy,Elliot,,,,,,,,,,,
794,Hedwig and the Angry Inch,2001,R,95.0,7.7,85.0,John Cameron Mitchell,John Cameron Mitchell,Miriam Shor,Stephen Trask,Theodore Liscinski,31957,3029081.0,Comedy,Hedwig,and,the,Angry,Inch,,,,,,,,
795,Ocean's Eleven,2001,UA,116.0,7.7,74.0,Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,Matt Damon,516372,183417150.0,Crime,Ocean's,Eleven,,,,,,,,,,,
796,Vampire Hunter D: Bloodlust,2000,U,103.0,7.7,62.0,Yoshiaki Kawajiri,Andrew Philpot,John Rafter Lee,Pamela Adlon,Wendee Lee,29210,151086.0,Animation,Vampire,Hunter,D:,Bloodlust,,,,,,,,,
797,"O Brother, Where Art Thou?",2000,U,107.0,7.7,69.0,Joel Coen,Ethan Coen,George Clooney,John Turturro,Tim Blake Nelson,286742,45512588.0,Adventure,O,"Brother,",Where,Art,Thou?,,,,,,,,
799,"South Park: Bigger, Longer & Uncut",1999,A,81.0,7.7,73.0,Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,Isaac Hayes,192112,52037603.0,Animation,South,Park:,"Bigger,",Longer,&,Uncut,,,,,,,
